Review,Clean_Reviews,Predicted_Sentiment
if I don't get varesa even after topping up for the first time ever in my life I will end my life and it will be your fault,if i dont get varesa even after topping up for the first time ever in my life i will end my life and it will be your fault,0
it is amazing,it is amazing,1
pretty good game love the story and design can get boring to grind but worth it,pretty good game love the story and design can get boring to grind but worth it,1
This game is very adventurous game graphics is so cool and my favourite game 🎮,this game is very adventurous game graphics is so cool and my favourite game,1
Great game ❤️,great game,1
here's the thing I like it but the characters are hard to get if only it was easier to get characters then I would change it to 5 stars,heres the thing i like it but the characters are hard to get if only it was easier to get characters then i would change it to 5 stars,1
QOL sucks! They just want your money.,qol sucks they just want your money,0
No skip button Powercreeping is too bad New events are gatekeep behind new char. Been playing this game since release and now will just drop it.,no skip button powercreeping is too bad new events are gatekeep behind new char been playing this game since release and now will just drop it,0
"Mostly played on PC and PS5, only played on mobile for the dailies. But the gameplay has been super fun and engaging, open world full of little puzzles and rewards, plus interesting story and attractive characters.",mostly played on pc and ps5 only played on mobile for the dailies but the gameplay has been super fun and engaging open world full of little puzzles and rewards plus interesting story and attractive characters,1
Love itttt,love itttt,1
"Greatest Rpg mobile game ever. I mean it has such a deep lore, great action and quests. It's Great",greatest rpg mobile game ever i mean it has such a deep lore great action and quests its great,1
bro its so good i can even lie very recommended please pull for wanderer if you download this game,bro its so good i can even lie very recommended please pull for wanderer if you download this game,1
"still my favorite game! exploration, combat, events :D",still my favorite game exploration combat events d,1
is my third best game I play in my life ever,is my third best game i play in my life ever,1
The game is good overall.Natlan was kinda off i had higher expectations.The Pyro archon design wasn't that good.I expected a really aggressive person to be the Pyro archon with good design of course Not having a weird bike. But the 5.5 version update is better than other regions. The new area is good And another very huge problem in Genshin impact is that it doesn't have any skip button. I would highly recommend adding a skip button in game if not in archon or story quest but in world quest.,the game is good overallnatlan was kinda off i had higher expectationsthe pyro archon design wasnt that goodi expected a really aggressive person to be the pyro archon with good design of course not having a weird bike but the 55 version update is better than other regions the new area is good and another very huge problem in genshin impact is that it doesnt have any skip button i would highly recommend adding a skip button in game if not in archon or story quest but in world quest,1
this is a great game,this is a great game,1
"ok so I'm changing my rating from 5 to 3, genshin really did us dirty with Natlan",ok so im changing my rating from 5 to 3 genshin really did us dirty with natlan,1
i will always love this game despite how the fandom is thanks for your hardworksss,i will always love this game despite how the fandom is thanks for your hardworksss,1
"It is the best 😍 game I've ever play. I just wanna thank to Hoyoverse for making such a beautiful, gorgeous, and masterpiece game. The graphics, art style, characters, and the places are so beautiful, that I've got addicted to it. Just love ❤️ it!!",it is the best game ive ever play i just wanna thank to hoyoverse for making such a beautiful gorgeous and masterpiece game the graphics art style characters and the places are so beautiful that ive got addicted to it just love it,1
my favorite game tbh,my favorite game tbh,1
I love playing Genshin,i love playing genshin,1
it's just ugggh can't even go to my menu without dying and hard to do quest and it give u baby amount of crystals to use for wishes and littraly just frustrating,its just ugggh cant even go to my menu without dying and hard to do quest and it give u baby amount of crystals to use for wishes and littraly just frustrating,0
"I love this game so much! This is my fav game so far. The graphic is so sick and beautiful. All of the content such as combat, lore wise and exploration makes it even more fun to play. However, pls increase the primogems rewards for this game... As an f2p, I really need so much primogems to pull for a character that I want. Also, please make Windtrace event as a permanent event. I'm begging you🙏🏻",i love this game so much this is my fav game so far the graphic is so sick and beautiful all of the content such as combat lore wise and exploration makes it even more fun to play however pls increase the primogems rewards for this game as an f2p i really need so much primogems to pull for a character that i want also please make windtrace event as a permanent event im begging you,1
Bring back Kinich's VA John back. ✋️ Absolutely no offence to Jacob but he does not give off the accurate vibes for Kinich.,bring back kinichs va john back absolutely no offence to jacob but he does not give off the accurate vibes for kinich,0
We don't support scabs here. Revert the recast of Kinich.,we dont support scabs here revert the recast of kinich,0
"I started playing Genshin around the time it was originally released. It had beautiful landscapes and a meaningful storyline. I stopped playing regularly and spending money around the release of Sumeru. I still play a bit at a PC room because I already invested a lot into it, but it's 99% grinding. I've answered every survey with ""please increase drop rates."" The recent characters are also super generic, making it similar to your typical waifu game. It's disappointing how they've lost the plot.",i started playing genshin around the time it was originally released it had beautiful landscapes and a meaningful storyline i stopped playing regularly and spending money around the release of sumeru i still play a bit at a pc room because i already invested a lot into it but its 99 grinding ive answered every survey with please increase drop rates the recent characters are also super generic making it similar to your typical waifu game its disappointing how theyve lost the plot,1
"Terrible. Game won't ever start. Initially downloaded 30g of updates, then did it again. After almost an hour of waiting, I gave up and un-installed it.",terrible game wont ever start initially downloaded 30g of updates then did it again after almost an hour of waiting i gave up and uninstalled it,0
"I would never recommend a single hoyo game and genshin by far is the worst one -lack of quality of life features despite nearly being 5 years old -extreme lack of variety to the point that an entire nation based on African and indigenous cultures features an entire cast of very pale skin characters -Although there's no pvp(player vs player), the game still manages to be more pay to win than free to win. It barely offers players any rewards at all do not download this dried up racist game",i would never recommend a single hoyo game and genshin by far is the worst one lack of quality of life features despite nearly being 5 years old extreme lack of variety to the point that an entire nation based on african and indigenous cultures features an entire cast of very pale skin characters although theres no pvpplayer vs player the game still manages to be more pay to win than free to win it barely offers players any rewards at all do not download this dried up racist game,0
"Quit the game due to lack of male characters, game seemingly transitioning into clickbaity waifu money farming game, sexualization of characters have gotten worse, storyline going from good to bad, then worse. Lack of events making the game dry, MC turning into typical harem protagonist route. Won't be coming back unless they do something about it.",quit the game due to lack of male characters game seemingly transitioning into clickbaity waifu money farming game sexualization of characters have gotten worse storyline going from good to bad then worse lack of events making the game dry mc turning into typical harem protagonist route wont be coming back unless they do something about it,0
omg perfect 😭😍,omg perfect,1
I've played this game several times even tho I love the game I .....every time I move devices every time I change the platform I'm using ...I without fail start from square 1 I've never been able to keep any of the progress I've never used a different email so I don't know how they confuse me ...truly a difficult company to work with,ive played this game several times even tho i love the game i every time i move devices every time i change the platform im using i without fail start from square 1 ive never been able to keep any of the progress ive never used a different email so i dont know how they confuse me truly a difficult company to work with,1
The worst gacha game,the worst gacha game,0
just add controller support,just add controller support,1
love the art style and stuff but there is a moment when I can't open a chest. not because I'm not yet solve the puzzle but there is just so 'button' to claim the chest. is happened a few days ago and still I can't claim the chest. please fix this bug hoyo,love the art style and stuff but there is a moment when i cant open a chest not because im not yet solve the puzzle but there is just so button to claim the chest is happened a few days ago and still i cant claim the chest please fix this bug hoyo,1
good experience,good experience,1
natlan saved the story of genshin impact,natlan saved the story of genshin impact,0
No skip button,no skip button,0
"Building characters super sucks. It takes the fun out of the game. And I don't really like the combat, it relies on elements too much. I want characters that feel that they're really fighting, instead of hey, I dropped this flower, it damages the enemies, and then this other character drops another thing that reacts with the other one. Like, dude, it doesn't feel like they're fighting. Make them hit enemies with their weapons, man.",building characters super sucks it takes the fun out of the game and i dont really like the combat it relies on elements too much i want characters that feel that theyre really fighting instead of hey i dropped this flower it damages the enemies and then this other character drops another thing that reacts with the other one like dude it doesnt feel like theyre fighting make them hit enemies with their weapons man,0
crazy,crazy,0
best game ever🔥,best game ever,1
"STINGY GAME, DON'T WANT TO LISTEN TO WHAT THE PLAYER SAYS",stingy game dont want to listen to what the player says,0
I just want to play this game on pc but I don't have pc,i just want to play this game on pc but i dont have pc,0
"No customer support or empathy or care, typical Chinese. I recommend playing free to play, paying is not worth it and they never give any real support. A bug in the game resulted in my loss of resources, I report it and they say there's nothing they can do about it and to ""be more careful"" as if to say it's not a bug. It is a bug and they won't even check the logs or help me so I'll never buy their Genesis crystals. they will never see a penny from me.I planned to this summer but no. Never.",no customer support or empathy or care typical chinese i recommend playing free to play paying is not worth it and they never give any real support a bug in the game resulted in my loss of resources i report it and they say theres nothing they can do about it and to be more careful as if to say its not a bug it is a bug and they wont even check the logs or help me so ill never buy their genesis crystals they will never see a penny from mei planned to this summer but no never,1
best game ever,best game ever,1
"Great game...one of the best game I have played till now. Still needs improvement like endgame content, permanent things to do, improvement in artifact RNG etc.",great gameone of the best game i have played till now still needs improvement like endgame content permanent things to do improvement in artifact rng etc,1
♡♡thank you for making this game♡ it really made me happy 😊,thank you for making this game it really made me happy,1
Best Single Player Adventure,best single player adventure,1
GOOD STORY GAME,good story game,1
I love the lore that's all I care,i love the lore thats all i care,1
cool,cool,1
Love this game but they need to improve their portrayal of culturalgroups. The nations Natlan and Sumeru have a terrible problem with white washing the represented characters and reducing cultural influences in their designs compared to other regions. They need to improve their designs now and add darker skin characters with clearer cultural influences. SIGN THE SAG INTERIM AGREEMENT I WON'T PLAY THIS GAME WITH AI VOICES,love this game but they need to improve their portrayal of culturalgroups the nations natlan and sumeru have a terrible problem with white washing the represented characters and reducing cultural influences in their designs compared to other regions they need to improve their designs now and add darker skin characters with clearer cultural influences sign the sag interim agreement i wont play this game with ai voices,1
"uninstalled the game for good; finally free from it's iron grip. the new characters are all boring & their designs look cluttered. i will never understand genshin's insistence on providing the bare minimum when it comes to gaming experience; uninspiring dialogues, overuse of blackscreens, reusing idle and fight animations during cutscenes/quest ;all this despite being a multi-billion dollar company. how shameful. Its only saving grace ended up being the music—the one thing I could never hate.",uninstalled the game for good finally free from its iron grip the new characters are all boring their designs look cluttered i will never understand genshins insistence on providing the bare minimum when it comes to gaming experience uninspiring dialogues overuse of blackscreens reusing idle and fight animations during cutscenesquest all this despite being a multibillion dollar company how shameful its only saving grace ended up being the musicthe one thing i could never hate,1
"The version 5.5 world quests are incredible, and the qualities of life added definitely improve the experience! That said, the VA situation is starting to affect some travelers' enjoyment of the game. Oh, and we NEED playable Capitano!!!!!!",the version 55 world quests are incredible and the qualities of life added definitely improve the experience that said the va situation is starting to affect some travelers enjoyment of the game oh and we need playable capitano,1
it's disgusting what they're doing with this game it used to be amazing the way they're potraying characters now is simply off putting I'm not sure who the target audience is supposed to be but with the amount of people leaving genshin including me it can't have been a good choice. Literally I don't know how they managed to ruin one of the most popular games I hope they come to their senses for sneznaya..,its disgusting what theyre doing with this game it used to be amazing the way theyre potraying characters now is simply off putting im not sure who the target audience is supposed to be but with the amount of people leaving genshin including me it cant have been a good choice literally i dont know how they managed to ruin one of the most popular games i hope they come to their senses for sneznaya,0
nice game,nice game,1
"Let's be clear, the only good thing about genshin is it's characters. In order to get to the good parts of the story you have to get through a LOT of random npcs who aren't even helping the main narrative. The game barely has any combat after you reach endgame. You'll be stuck grinding the same stuff over and over. This hasn't changed in 3 years. The game barely rewards players in comparison to other gacha games. This game is for little children who don't care what the game gives them.",lets be clear the only good thing about genshin is its characters in order to get to the good parts of the story you have to get through a lot of random npcs who arent even helping the main narrative the game barely has any combat after you reach endgame youll be stuck grinding the same stuff over and over this hasnt changed in 3 years the game barely rewards players in comparison to other gacha games this game is for little children who dont care what the game gives them,1
nice game,nice game,1
Do you guys dont listen to player at all? imagine talking scene on the event and the game crash even if i try again it keep crashing but gameplay just fine but talking scene not. The hell is wrong with the game just add a fricking skip button this game the worst event and the last time this happend too i though thats was gonna the last yet here it come it happend again its like the dev didnt do anything about rhis crashing i think its time to drop this game,do you guys dont listen to player at all imagine talking scene on the event and the game crash even if i try again it keep crashing but gameplay just fine but talking scene not the hell is wrong with the game just add a fricking skip button this game the worst event and the last time this happend too i though thats was gonna the last yet here it come it happend again its like the dev didnt do anything about rhis crashing i think its time to drop this game,0
"nice game, sigewinne is my daughter",nice game sigewinne is my daughter,1
pretty bad game ngl,pretty bad game ngl,0
"Love the game, really. What it lacks from the start would be the compatibility for controllers on android. I play in PC and lately struggle to play touch screen navigations. I've gotten used to buttons, and I'm very comfortable with my choice of device. It's just a bummer that when I want to play with my phone or tablet, I'd rather get tired or feel uncomfortable and not enjoy the game without any buttons. Please take this to consideration. 5.5 update: Thank you for bringing control support!",love the game really what it lacks from the start would be the compatibility for controllers on android i play in pc and lately struggle to play touch screen navigations ive gotten used to buttons and im very comfortable with my choice of device its just a bummer that when i want to play with my phone or tablet id rather get tired or feel uncomfortable and not enjoy the game without any buttons please take this to consideration 55 update thank you for bringing control support,1
"I love thus game more than I thought it was the best game ever!!! The characters, the lore and everythingthank you mihoyo edited: NVM this game started very very good until natlan came. everything changed it's just getting worse and worse , as a Chinese player the white wash....just weird and the sexualise makes it worse- I quit I wish I could return my money",i love thus game more than i thought it was the best game ever the characters the lore and everythingthank you mihoyo edited nvm this game started very very good until natlan came everything changed its just getting worse and worse as a chinese player the white washjust weird and the sexualise makes it worse i quit i wish i could return my money,1
it's a great game overall,its a great game overall,1
"quality of life locked behind paywalls. Could have been a great game, oh well.",quality of life locked behind paywalls could have been a great game oh well,1
"The whole Natlan's arc, ranging from the world building, the story quests, and the characters design; It's quite a miss for me. It doesn't give me the idea that Natlan is inspired by countries in Africa or South America. it's just more of a Madmax Universe. I really don't have high expectations for the upcoming Nod-Krai. And also, there's literally 0 lore or stories that relate to the MC. We don't know if he and his sibling just really travelled and explored world. We never know the reason.",the whole natlans arc ranging from the world building the story quests and the characters design its quite a miss for me it doesnt give me the idea that natlan is inspired by countries in africa or south america its just more of a madmax universe i really dont have high expectations for the upcoming nodkrai and also theres literally 0 lore or stories that relate to the mc we dont know if he and his sibling just really travelled and explored world we never know the reason,1
breath taking views and scenery. awesome cutscenes but after a view weeks it just becomes a gambling machine.,breath taking views and scenery awesome cutscenes but after a view weeks it just becomes a gambling machine,1
"Genshin Impact continues to impress with deep lore, breathtaking music, and a massive world to explore. The balance between challenge and relaxation makes it perfect for both casual and dedicated players. Natlan feels rushed and out of place compared to earlier updates. Still, the game’s world-building, character depth, and ongoing updates make it one of the best RPGs out there!",genshin impact continues to impress with deep lore breathtaking music and a massive world to explore the balance between challenge and relaxation makes it perfect for both casual and dedicated players natlan feels rushed and out of place compared to earlier updates still the games worldbuilding character depth and ongoing updates make it one of the best rpgs out there,1
I used to love it and play every day but now it got boring.,i used to love it and play every day but now it got boring,1
best game ever I love playing it,best game ever i love playing it,1
thank you for Android controller support,thank you for android controller support,1
To put it simple The game is good. The fandom isn't,to put it simple the game is good the fandom isnt,1
this cool and fun for me so relaxing and i give 3 Star because of the game sometimes lagging but it still fun fir the grafik cool,this cool and fun for me so relaxing and i give 3 star because of the game sometimes lagging but it still fun fir the grafik cool,1
"The new exploration in Natlan is amazing, but I'm tired of nameless female characters being prioritized over the male counterparts that have been announced months ago. On top of that Natlan's story is a downgrade compared to Fontaine, and the Natlan character designs are all over the place. Let's just move on to Snezhnaya already I'm begging 🤲",the new exploration in natlan is amazing but im tired of nameless female characters being prioritized over the male counterparts that have been announced months ago on top of that natlans story is a downgrade compared to fontaine and the natlan character designs are all over the place lets just move on to snezhnaya already im begging,1
"I like this game, Really does this game make us happy?",i like this game really does this game make us happy,1
its cool but lets not forget its the creator of all predatory gacha games,its cool but lets not forget its the creator of all predatory gacha games,1
good game,good game,1
"Genshin was one of my favorite games during 2020-2023 with all the fun events and amazing atmosphere. But since 2024-2025, it started to get boring with the events and it was just a repeated cycle of, logging in, doing your daily commissions and quests, logging out. Fontaine was very enjoyable and set high expectations but when Natlan came in, there was a lot of controversy and fan-service.",genshin was one of my favorite games during 20202023 with all the fun events and amazing atmosphere but since 20242025 it started to get boring with the events and it was just a repeated cycle of logging in doing your daily commissions and quests logging out fontaine was very enjoyable and set high expectations but when natlan came in there was a lot of controversy and fanservice,1
"Absolute dogshit game. Same repetitive mechanics, no skip button to skip all that yap. It's better to just download a wish simulator",absolute dogshit game same repetitive mechanics no skip button to skip all that yap its better to just download a wish simulator,1
"Ever since the release of Natlan, the characters have been more and more powerful compared to those released in the previous regions, while their designs have been having more and more dissonance to the pre established setting. Additionally, the rate of male characters has drastically dropped, especially for those of higher rarities (one 5* male has been released in almost a year at the time of writing), and the designs of female characters has been getting more ""fanservice-y""",ever since the release of natlan the characters have been more and more powerful compared to those released in the previous regions while their designs have been having more and more dissonance to the pre established setting additionally the rate of male characters has drastically dropped especially for those of higher rarities one 5 male has been released in almost a year at the time of writing and the designs of female characters has been getting more fanservicey,1
Hu Tao is the best character ever created by humanity. The game without Hu Tao is mid.,hu tao is the best character ever created by humanity the game without hu tao is mid,1
JUST GOATED LIKE LITERALLY,just goated like literally,1
"It was fun playing it, it has many adventures to go!",it was fun playing it it has many adventures to go,1
at first was really fun but now it's meh,at first was really fun but now its meh,1
it would better if we can play along with our friends too playing solo is not fun at all .....,it would better if we can play along with our friends too playing solo is not fun at all,1
I am a big fan I wish to play genshin impact for 2023 to now but it took a lot long to load in..that i give up on it but then a again i always download it and try to paly it but fail..😭😭,i am a big fan i wish to play genshin impact for 2023 to now but it took a lot long to load inthat i give up on it but then a again i always download it and try to paly it but fail,1
It's a beautiful game.,its a beautiful game,1
The events and end game are fine. It's just recently it is focusing on specific audiences and the main story isn't as fun as before. They also never listened to fans feedback too. pls do better,the events and end game are fine its just recently it is focusing on specific audiences and the main story isnt as fun as before they also never listened to fans feedback too pls do better,1
2 stars because maybe this won't be mass deleted like the 1 stars,2 stars because maybe this wont be mass deleted like the 1 stars,1
I've been playing it for like 4 years now the main reason being the story but lately I've become trouble with it's poor artifact drop rates and upgrades I've been farming for months and other drawback being unable to use my old dps characters in abyss cuz new abyss just focuses on bosses and mechanism requiring latest characters besides from that the plus points would be amazing story good graphics good open world experience and combat mechanics,ive been playing it for like 4 years now the main reason being the story but lately ive become trouble with its poor artifact drop rates and upgrades ive been farming for months and other drawback being unable to use my old dps characters in abyss cuz new abyss just focuses on bosses and mechanism requiring latest characters besides from that the plus points would be amazing story good graphics good open world experience and combat mechanics,1
"game has fallen from grace for me, story wise, quality wise, with dubious marketing moves, upholding announced reward after popular banners, very stingy amount of reward every patch..",game has fallen from grace for me story wise quality wise with dubious marketing moves upholding announced reward after popular banners very stingy amount of reward every patch,1
At first my rating was 5 star but now I feel like the game mechanics are repetitive,at first my rating was 5 star but now i feel like the game mechanics are repetitive,0
"I will start with this: I adore this game. I played it for the characters, their personalities and their lore. I got to fall in love with the world of Teyvat. I went up from start to AR 52 within 3 months. I play for the characters. as an artist, they inspire me. I cannot support a game that will get rid of voice actors, REAL people, because they don't want to be impersonated by AI. the Eng VAs love this game and WANT to work, WITH protections for their jobs. Sign the interim and I'll return!",i will start with this i adore this game i played it for the characters their personalities and their lore i got to fall in love with the world of teyvat i went up from start to ar 52 within 3 months i play for the characters as an artist they inspire me i cannot support a game that will get rid of voice actors real people because they dont want to be impersonated by ai the eng vas love this game and want to work with protections for their jobs sign the interim and ill return,1
"Please add a skip button to the story, at least just for all side story",please add a skip button to the story at least just for all side story,1
Good open world game,good open world game,1
it's good if you have good phone,its good if you have good phone,1
god give,god give,1
The developers were never interested in listening to the player base and improving the game. look how much money they make on each new banner. They don't need to. that's why I stopped playing. Wuthering Waves blows genshin out of the water,the developers were never interested in listening to the player base and improving the game look how much money they make on each new banner they dont need to thats why i stopped playing wuthering waves blows genshin out of the water,1
"got the most revenue of them all, but can't even put any effort implementing what players want, making updates no one asked and locking up QoL on limited character, shame on you",got the most revenue of them all but cant even put any effort implementing what players want making updates no one asked and locking up qol on limited character shame on you,0
Very nice and good game. It is very exiting and fun game,very nice and good game it is very exiting and fun game,1
stop replacing voice actors striking for AI protections. It's incredibly scummy and actively ruining the game experience.,stop replacing voice actors striking for ai protections its incredibly scummy and actively ruining the game experience,0
super game for adventure and lore is the best game I have ever seen all the archon story world story character story everything is perfect ❤️❤️❤️❤️🩷💜🩷💜❤️❤️❤️❤️❤️ love the game more and More For Amber and diluc,super game for adventure and lore is the best game i have ever seen all the archon story world story character story everything is perfect love the game more and more for amber and diluc,1
I love the game. Its such such vibe! How genshin feels after killing the MC's side character friends:😜,i love the game its such such vibe how genshin feels after killing the mcs side character friends,0
This game is amazing. It has great graphics and great stories and fun characters to play with. Its really shocking that jts only for free and has no ads for me and people can join other people's worlds which is a fun experience. The story/lore is very fun and has many quests to do to get a lot of rewards. This game however got backlash due to the anniversary events but the game still gives lots of rewards and is still beginning to give more rewards from the anniversary and upcoming events. 😊,this game is amazing it has great graphics and great stories and fun characters to play with its really shocking that jts only for free and has no ads for me and people can join other peoples worlds which is a fun experience the storylore is very fun and has many quests to do to get a lot of rewards this game however got backlash due to the anniversary events but the game still gives lots of rewards and is still beginning to give more rewards from the anniversary and upcoming events,1
very good,very good,1
"good, better than hsr",good better than hsr,1
good game,good game,1
what the hell is this game...quests are like talking to fruits and vegetables all day....,what the hell is this gamequests are like talking to fruits and vegetables all day,0
awesome game,awesome game,1
good 👍,good,1
I LIKE THIS GAME BECAUSE GRAPHIC AND STORY IS UNBELIEVABLE 😄,i like this game because graphic and story is unbelievable,1
"starting to love this game again I love the character designs,story,map etc but of course there's still things that could be added to improve the game",starting to love this game again i love the character designsstorymap etc but of course theres still things that could be added to improve the game,1
"All aspects of the game is pretty good, as expected from Hoyoverse. But some culture things just isn't right, and Natlan kinda disappointed me",all aspects of the game is pretty good as expected from hoyoverse but some culture things just isnt right and natlan kinda disappointed me,0
at first I absolutely loved this game! the story is good and the graphics were beautiful but there's way too much grinding required and I don't have the time for that. the biggest reason why I gave this 2 Stars is because I KID YOU NOT THIS APP TOOK OVER 45 MINUTES TO LOAD the amount of space it takes up is INSANE and honestly just not worth it,at first i absolutely loved this game the story is good and the graphics were beautiful but theres way too much grinding required and i dont have the time for that the biggest reason why i gave this 2 stars is because i kid you not this app took over 45 minutes to load the amount of space it takes up is insane and honestly just not worth it,1
cant turn on control support in settings,cant turn on control support in settings,1
I've played for many years... it's so hard to say now but I'm severely disappointed. There's so many issues that get covered over by cutsie aesthetics just so they can stab you in the back later. I am too tired to list them.... I enjoyed the game for a while but I can't say I do now.,ive played for many years its so hard to say now but im severely disappointed theres so many issues that get covered over by cutsie aesthetics just so they can stab you in the back later i am too tired to list them i enjoyed the game for a while but i cant say i do now,0
"The game itself is fun.. somewhat. The lack of Voice Actors makes it insufferable. instead of guaranteeing safety from AI, you replace them. Other than that and the fan service, it's okay. Most of the playstyles are enjoyable, and some of the designs are amazing. + Most events are cool. Although it can get sorta boring and repetitive.. and some events are mainly for only one singular character that not everyone has.. (Hint hint.. Mavuika) It's fun when you only just started getting into it 🤷‍",the game itself is fun somewhat the lack of voice actors makes it insufferable instead of guaranteeing safety from ai you replace them other than that and the fan service its okay most of the playstyles are enjoyable and some of the designs are amazing most events are cool although it can get sorta boring and repetitive and some events are mainly for only one singular character that not everyone has hint hint mavuika its fun when you only just started getting into it,1
best game ever ^~^,best game ever,1
I love this game but I hate their demon names,i love this game but i hate their demon names,0
yeh game bahot accha hai but isme sabse badi problem travel ka hai bike or koi gadi hoti to yeh game bahot accha hota but yeh game sach main bahot accha hai,yeh game bahot accha hai but isme sabse badi problem travel ka hai bike or koi gadi hoti to yeh game bahot accha hota but yeh game sach main bahot accha hai,0
The dev team never listened to the player's feedback. Lazy and greedy and worst of all doesn't even want to sign protection against AI for the VAs,the dev team never listened to the players feedback lazy and greedy and worst of all doesnt even want to sign protection against ai for the vas,0
Love hate relationship fr,love hate relationship fr,1
bad character design. I'm disappointed with natlan,bad character design im disappointed with natlan,0
I love that,i love that,1
"download is very slowly and I have a problem, the download is slow, where by half an hour it reaches 5%, and then if the loading stops a little bit and I go into the game to play the download, I find that it goes back to 0, that is, I can never get into the game, even though I have 73gb space.",download is very slowly and i have a problem the download is slow where by half an hour it reaches 5 and then if the loading stops a little bit and i go into the game to play the download i find that it goes back to 0 that is i can never get into the game even though i have 73gb space,1
"While I enjoy the game overall, the lack of actual diversity in the playable characters is incredibly disappointing. 1* Rating due to the horrid treatment of Eng VAs just trying to secure their rights. Recasting voice actors instead of respecting them as people isn't a good look if you ask me. I'd rather have a completely silent game than AI or scabs.",while i enjoy the game overall the lack of actual diversity in the playable characters is incredibly disappointing 1 rating due to the horrid treatment of eng vas just trying to secure their rights recasting voice actors instead of respecting them as people isnt a good look if you ask me id rather have a completely silent game than ai or scabs,0
best game ever 😄,best game ever,1
It's really nice but why do the new characters have to be sexualized? Too much skin is shown.,its really nice but why do the new characters have to be sexualized too much skin is shown,1
"not ""f2ps"" defending this tho, really if only you lot knew the pain and hardwork the players do, mostly whales and those who pay for the game. at least a little appreciation will do, not to mention the fact that mhyo only care about the cn players and doesnt even take notice of the players outside cn is really downright disappointing. probably bcs ur just ""f2ps"" thats y y'all dont care but man, try spending on the game first then come back for a proper review dumbasses",not f2ps defending this tho really if only you lot knew the pain and hardwork the players do mostly whales and those who pay for the game at least a little appreciation will do not to mention the fact that mhyo only care about the cn players and doesnt even take notice of the players outside cn is really downright disappointing probably bcs ur just f2ps thats y yall dont care but man try spending on the game first then come back for a proper review dumbasses,1
"Billion dollar company refuses to be transparent and listen to players, still has no Artifact loadouts despite being the top requested feature, New region has been all over the place in terms of design and themes. little diversity in playable skintones despite the cultures they're ""borrowing"" from and They recast one of my favourite new character's voice for no reason, refuse to offer protection, ensure consent and proper compensation for AI voice training off their Voice actor's work.",billion dollar company refuses to be transparent and listen to players still has no artifact loadouts despite being the top requested feature new region has been all over the place in terms of design and themes little diversity in playable skintones despite the cultures theyre borrowing from and they recast one of my favourite new characters voice for no reason refuse to offer protection ensure consent and proper compensation for ai voice training off their voice actors work,0
Has controller support on every version but Android. I played in 2020 but fell off because that reason and the lack of that feature has finally dropped my review from 5* to 1*,has controller support on every version but android i played in 2020 but fell off because that reason and the lack of that feature has finally dropped my review from 5 to 1,1
my best and first gacha game,my best and first gacha game,1
"The magic is gone. Once upon a time, booting up Genshin would cue responses of ""wow, that's a mobile game?"" But beautiful character design and pretty graphics can't distract you from the glaring faults in the game forever. Fans praise the story, but I'm convinced that they're actually praising the lore. The storytelling itself is a slow, bloated, tedious mess worse than any MMORPG ever was. You spend hours and hours clicking through meaningless dialogue to get to the good stuff for a few minutes",the magic is gone once upon a time booting up genshin would cue responses of wow thats a mobile game but beautiful character design and pretty graphics cant distract you from the glaring faults in the game forever fans praise the story but im convinced that theyre actually praising the lore the storytelling itself is a slow bloated tedious mess worse than any mmorpg ever was you spend hours and hours clicking through meaningless dialogue to get to the good stuff for a few minutes,1
"The game is turning into incel bait slop, the story doesn't make sense anymore, the character designs are catered to gooners and the most recent region, Natlan, has had the worst designs and story Genshin has ever provided. Not only has the quality dropped immensely, they now only cater to male fans who demand fanservice at all times, suddenly all new girls like the traveler and are ripped of their own personality. Uninstalled the game, happy to never play again.",the game is turning into incel bait slop the story doesnt make sense anymore the character designs are catered to gooners and the most recent region natlan has had the worst designs and story genshin has ever provided not only has the quality dropped immensely they now only cater to male fans who demand fanservice at all times suddenly all new girls like the traveler and are ripped of their own personality uninstalled the game happy to never play again,0
amazing game but later in the game it's much more of a chore than a game. you can still enjoy it though you've just gotta be creative.,amazing game but later in the game its much more of a chore than a game you can still enjoy it though youve just gotta be creative,1
really cant pay their voice actors and promise to not use ai. first the english voice lines were missing and now they're replacing beloved voice actors.,really cant pay their voice actors and promise to not use ai first the english voice lines were missing and now theyre replacing beloved voice actors,1
not fun and unpleasant to play.,not fun and unpleasant to play,1
used to be my fav game but it's heavily falling behind. it feels like this game is living in 2020 and not evolving like other games are. sad. i hope the devs ACTUALLY improve it so that it can be a great game again.,used to be my fav game but its heavily falling behind it feels like this game is living in 2020 and not evolving like other games are sad i hope the devs actually improve it so that it can be a great game again,1
"doesn't like their players, doesn't listen to them either",doesnt like their players doesnt listen to them either,0
it's my least fav hoyo game but it's still good I mainly play for furina and it's a bit late to quit considering this is my 3rd year playing,its my least fav hoyo game but its still good i mainly play for furina and its a bit late to quit considering this is my 3rd year playing,1
natlan flops 💀,natlan flops,0
recasting while a voice actor is on strike to protect their voice against ai.,recasting while a voice actor is on strike to protect their voice against ai,1
